sorter,arrangement,size,median_nanos
CountingSort,ASC,0,122600
CountingSort,ASC,1000,1885300
CountingSort,ASC,2000,1014000
CountingSort,ASC,3000,1509900
CountingSort,ASC,4000,1507800
CountingSort,ASC,5000,1445800
CountingSort,ASC,6000,1443100
CountingSort,ASC,7000,1466700
CountingSort,ASC,8000,1754500
CountingSort,ASC,9000,979800
CountingSort,ASC,10000,576200
CountingSort,ASC,11000,962000
CountingSort,ASC,12000,1304800
CountingSort,ASC,13000,1187900
CountingSort,ASC,14000,907100
CountingSort,ASC,15000,855400
CountingSort,ASC,16000,918600
CountingSort,ASC,17000,1048900
CountingSort,ASC,18000,1231500
CountingSort,ASC,19000,896600
CountingSort,ASC,20000,731200
CountingSort,RAND,0,10100
CountingSort,RAND,1000,817900
CountingSort,RAND,2000,597800
CountingSort,RAND,3000,849700
CountingSort,RAND,4000,419700
CountingSort,RAND,5000,812000
CountingSort,RAND,6000,601800
CountingSort,RAND,7000,738400
CountingSort,RAND,8000,763200
CountingSort,RAND,9000,485400
CountingSort,RAND,10000,563900
CountingSort,RAND,11000,760500
CountingSort,RAND,12000,968200
CountingSort,RAND,13000,699200
CountingSort,RAND,14000,656500
CountingSort,RAND,15000,904300
CountingSort,RAND,16000,718900
CountingSort,RAND,17000,1083100
CountingSort,RAND,18000,934000
CountingSort,RAND,19000,874800
CountingSort,RAND,20000,1153000
CountingSort,DESC,0,12600
CountingSort,DESC,1000,286200
CountingSort,DESC,2000,243500
CountingSort,DESC,3000,667200
CountingSort,DESC,4000,361200
CountingSort,DESC,5000,207600
CountingSort,DESC,6000,629300
CountingSort,DESC,7000,387100
CountingSort,DESC,8000,368900
CountingSort,DESC,9000,525000
CountingSort,DESC,10000,422700
CountingSort,DESC,11000,481500
CountingSort,DESC,12000,428700
CountingSort,DESC,13000,338000
CountingSort,DESC,14000,717700
CountingSort,DESC,15000,322600
CountingSort,DESC,16000,630200
CountingSort,DESC,17000,512600
CountingSort,DESC,18000,905400
CountingSort,DESC,19000,386500
CountingSort,DESC,20000,960400
HeapSort,ASC,0,800
HeapSort,ASC,1000,519400
HeapSort,ASC,2000,862200
HeapSort,ASC,3000,1743400
HeapSort,ASC,4000,2270400
HeapSort,ASC,5000,4265400
HeapSort,ASC,6000,4610200
HeapSort,ASC,7000,3701000
HeapSort,ASC,8000,9797000
HeapSort,ASC,9000,10324000
HeapSort,ASC,10000,10710400
HeapSort,ASC,11000,7860400
HeapSort,ASC,12000,10521200
HeapSort,ASC,13000,9196400
HeapSort,ASC,14000,7122300
HeapSort,ASC,15000,9459300
HeapSort,ASC,16000,9032200
HeapSort,ASC,17000,9663100
HeapSort,ASC,18000,2763500
HeapSort,ASC,19000,2288600
HeapSort,ASC,20000,2535100
HeapSort,RAND,0,200
HeapSort,RAND,1000,105100
HeapSort,RAND,2000,225400
HeapSort,RAND,3000,373500
HeapSort,RAND,4000,633200
